Cell_Name,Area_um2,Leakage_Power_W,Input_Cap_pF,Rise_Delay_ns,Fall_Delay_ns,Avg_Delay_ns,Cell_Type,Drive_Strength,PDP,Energy_per_transition,Delay_per_Area,Power_per_Area,Normalized_Area,Normalized_Delay,Normalized_Power,Delay_Skew,Log_Area,Log_Delay,Log_Power,Area_x_Cap,Delay_x_Power,CellType_AND,CellType_AOI,CellType_BUF,CellType_CLKBUF,CellType_CLKGATE,CellType_CLKGATETST,CellType_DFF,CellType_DFFR,CellType_DFFRS,CellType_DFFS,CellType_DLH,CellType_DLL,CellType_FA,CellType_HA,CellType_INV,CellType_MUX,CellType_NAND,CellType_NOR,CellType_OAI,CellType_OR,CellType_SDFF,CellType_SDFFR,CellType_SDFFRS,CellType_SDFFS,CellType_TBUF,CellType_TINV,CellType_TLAT,CellType_XNOR,CellType_XOR
AND2_X1,1.064,25.066064,0.918145,0.0229273,0.0217822,0.02235475,AND,1.0,0.560345594204,0.4590725,0.021010103383458646,23.558330827067667,4.0,5.448929275251395,inf,0.0011450999999999996,0.026941627959029855,-1.6506301826166672,1.3990861441982752,0.97690628,0.560345594204,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AND2_X2,1.33,50.35316,1.656515,0.0214822,0.0202727,0.02087745,AND,2.0,1.051245580242,0.8282575,0.015697330827067667,37.85951879699248,5.0,5.088840112172904,inf,0.0012094999999999988,0.12385164096708617,-1.6803225477463293,1.7020267306493024,2.20316495,1.051245580242,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AND2_X4,2.394,100.706457,3.195354,0.020722,0.0196696,0.0201958,AND,4.0,2.0338474642806,1.597677,0.008436006683375104,42.06618922305764,9.0,4.922689175997142,inf,0.001052400000000002,0.379124146070392,-1.6947389387948337,2.00305731712331,7.649677476000001,2.0338474642806,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AND3_X1,1.33,26.48146,0.879747,0.0320842,0.0237083,0.02789625,AND,1.0,0.738733428525,0.4398735,0.020974624060150375,19.910872180451126,5.0,6.799659727562676,inf,0.008375899999999999,0.12385164096708617,-1.5544541735638837,1.4229419253471258,1.17006351,0.738733428525,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AND3_X2,1.596,53.19027,1.599415,0.0301396,0.0221392,0.0261394,AND,2.0,1.390361743638,0.7997075,0.016378070175438596,33.32723684210526,6.0,6.371430765162049,inf,0.008000399999999998,0.20303288701471095,-1.5827043853736575,1.7258321948555022,2.55266634,1.390361743638,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AND3_X4,2.926,106.380663,3.085124,0.0288983,0.0213808,0.025139549999999997,AND,4.0,2.6743619965216494,1.542562,0.008591780587833218,36.35702768284347,11.0,6.127719163115051,inf,0.0075175,0.4662743217892922,-1.5996425004871948,2.026862692661984,9.027072824000001,2.6743619965216494,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AND4_X1,1.596,27.024804,0.856528,0.0418677,0.0254221,0.0336449,AND,1.0,0.9092468280995999,0.428264,0.021080764411027568,16.932834586466164,6.0,8.200882612102825,inf,0.0164456,0.20303288701471095,-1.4730807581775882,1.431762552874113,1.367018688,0.9092468280995999,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AND4_X2,1.862,54.274743,1.550933,0.0386066,0.0233395,0.03097305,AND,2.0,1.68105432867615,0.7754665,0.016634291084854994,29.148626745435013,7.0,7.54962407939365,inf,0.015267099999999999,0.2699796766453241,-1.5090160263852308,1.7345977756742033,2.887837246,1.68105432867615,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AND4_X4,3.458,108.54959,3.014616,0.0368721,0.0224662,0.02966915,AND,4.0,3.2205740681485,1.507308,0.008579858299595141,31.39085887796414,13.0,7.231800847999862,inf,0.0144059,0.5388249889379039,-1.5276948957322678,2.035628187430477,10.424542128,3.2205740681485,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOI21_X1,1.064,27.858395,1.626352,0.020585,0.006955,0.01377,AOI,1.0,0.38361009915,0.813176,0.01294172932330827,26.182702067669172,4.0,3.3564122220204524,inf,0.01363,0.026941627959029855,-1.8610660597430448,1.4449560918897266,1.730438528,0.38361009915,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
